year,theme,num_sets,prev_num_sets,abs_change,pct_change,total_sets_year,pct_of_portfolio,is_new_theme_year,new_themes_launched
2021,Plush Toys,4,18,-14.0,-77.78,1220,0.33,0,8
2022,Plush Toys,24,4,20.0,500.0,1217,1.97,0,5
2023,Plush Toys,5,24,-19.0,-79.17,1141,0.44,0,7
2024,Plush Toys,28,5,23.0,460.0,1225,2.29,0,8
2025,Plush Toys,3,28,-25.0,-89.29,1104,0.27,0,7
1995,Primo,6,0,0.0,0.0,195,3.08,1,7
1996,Primo,5,6,-1.0,-16.67,197,2.54,0,6
1997,Primo,15,5,10.0,200.0,286,5.24,0,10
1998,Primo,18,15,3.0,20.0,421,4.28,0,16
1999,Primo,19,18,1.0,5.56,378,5.03,0,12
2000,Primo,14,19,-5.0,-26.32,408,3.43,0,17
2001,Primo,19,14,5.0,35.71,459,4.14,0,13
2002,Primo,19,19,0.0,0.0,580,3.28,0,6
2003,Primo,11,19,-8.0,-42.11,541,2.03,0,16
2004,Primo,4,11,-7.0,-63.64,466,0.86,0,9
2005,Primo,7,4,3.0,75.0,409,1.71,0,9
2001,Racers,16,0,0.0,0.0,459,3.49,1,13
2002,Racers,24,16,8.0,50.0,580,4.14,0,6
2003,Racers,24,24,0.0,0.0,541,4.44,0,16
2004,Racers,10,24,-14.0,-58.33,466,2.15,0,9
2005,Racers,19,10,9.0,90.0,409,4.65,0,9
2006,Racers,17,19,-2.0,-10.53,441,3.85,0,7
2007,Racers,17,17,0.0,0.0,481,3.53,0,5
2008,Racers,18,17,1.0,5.88,462,3.9,0,9
2009,Racers,20,18,2.0,11.11,550,3.64,0,7
2010,Racers,18,20,-2.0,-10.0,531,3.39,0,14
2011,Racers,9,18,-9.0,-50.0,644,1.4,0,11
2012,Racers,4,9,-5.0,-55.56,766,0.52,0,18
1994,Seasonal,1,0,0.0,0.0,170,0.59,1,4
1995,Seasonal,1,1,0.0,0.0,195,0.51,0,7
2002,Seasonal,1,1,0.0,0.0,580,0.17,0,6
2003,Seasonal,1,1,0.0,0.0,541,0.18,0,16
2005,Seasonal,1,1,0.0,0.0,409,0.24,0,9
2007,Seasonal,10,1,9.0,900.0,481,2.08,0,5
