year,theme,num_sets,prev_num_sets,abs_change,pct_change,total_sets_year,pct_of_portfolio,is_new_theme_year,new_themes_launched
2016,Creator Expert,2,3,-1.0,-33.33,998,0.2,0,13
2017,Creator Expert,3,2,1.0,50.0,1104,0.27,0,6
2018,Creator Expert,3,3,0.0,0.0,1065,0.28,0,13
2019,Creator Expert,4,3,1.0,33.33,1106,0.36,0,9
2020,Creator Expert,2,4,-2.0,-50.0,1116,0.18,0,11
2021,Creator Expert,1,2,-1.0,-50.0,1220,0.08,0,8
1998,Desert,21,0,0.0,0.0,421,4.99,1,16
1999,Desert,4,21,-17.0,-80.95,378,1.06,0,12
2001,Desert,1,4,-3.0,-75.0,459,0.22,0,13
2015,Dimensions,31,0,0.0,0.0,1016,3.05,1,16
2016,Dimensions,26,31,-5.0,-16.13,998,2.61,0,13
2017,Dimensions,11,26,-15.0,-57.69,1104,1.0,0,6
2000,Dino Island,19,0,0.0,0.0,408,4.66,1,17
2003,Discovery,8,0,0.0,0.0,541,1.48,1,16
2020,DOTS,20,0,0.0,0.0,1116,1.79,1,11
2021,DOTS,35,20,15.0,75.0,1220,2.87,0,8
2022,DOTS,26,35,-9.0,-25.71,1217,2.14,0,5
2023,DOTS,11,26,-15.0,-57.69,1141,0.96,0,7
2024,DOTS,1,11,-10.0,-90.91,1225,0.08,0,8
1993,Dragon Knights,6,0,0.0,0.0,137,4.38,1,2
1994,Dragon Knights,4,6,-2.0,-33.33,170,2.35,0,4
1995,Dragon Knights,2,4,-2.0,-50.0,195,1.03,0,7
1998,Dragon Knights,1,2,-1.0,-50.0,421,0.24,0,16
2023,Gabby's Dollhouse,4,0,0.0,0.0,1141,0.35,1,7
2003,4 Juniors,10,0,0.0,0.0,541,1.85,1,16
2004,4 Juniors,13,10,3.0,30.0,466,2.79,0,9
1991,9V,12,0,0.0,0.0,148,8.11,1,3
1992,9V,5,12,-7.0,-58.33,138,3.62,0,5
1993,9V,3,5,-2.0,-40.0,137,2.19,0,2
1994,9V,3,3,0.0,0.0,170,1.76,0,4
1995,9V,2,3,-1.0,-33.33,195,1.03,0,7
1996,9V,4,2,2.0,100.0,197,2.03,0,6
1997,9V,1,4,-3.0,-75.0,286,0.35,0,10
1998,9V,2,1,1.0,100.0,421,0.48,0,16
1999,9V,8,2,6.0,300.0,378,2.12,0,12
2001,9V,36,8,28.0,350.0,459,7.84,0,13
2002,9V,16,36,-20.0,-55.56,580,2.76,0,6
2003,9V,2,16,-14.0,-87.5,541,0.37,0,16
2004,9V,2,2,0.0,0.0,466,0.43,0,9
2005,9V,1,2,-1.0,-50.0,409,0.24,0,9
2006,9V,2,1,1.0,100.0,441,0.45,0,7
2007,9V,1,2,-1.0,-50.0,481,0.21,0,5
2000,Action Wheelers,6,0,0.0,0.0,408,1.47,1,17
2001,Action Wheelers,3,6,-3.0,-50.0,459,0.65,0,13
1998,Arctic,2,0,0.0,0.0,421,0.48,1,16
2000,Arctic,9,2,7.0,350.0,408,2.21,0,17
2014,Arctic,11,9,2.0,22.22,1043,1.05,0,12
2018,Arctic,10,11,-1.0,-9.09,1065,0.94,0,13
2023,Arctic,4,10,-6.0,-60.0,1141,0.35,0,7
2024,Arctic,1,4,-3.0,-75.0,1225,0.08,0,8
2025,Arctic,2,1,1.0,100.0,1104,0.18,0,7
1969,Basic Set,2,0,0.0,0.0,75,2.67,1,4
1970,Basic Set,2,2,0.0,0.0,42,4.76,0,10
1973,Basic Set,3,2,1.0,50.0,72,4.17,0,2
1975,Basic Set,8,3,5.0,166.67,41,19.51,0,3
1976,Basic Set,6,8,-2.0,-25.0,77,7.79,0,4
1977,Basic Set,8,6,2.0,33.33,114,7.02,0,4
1978,Basic Set,3,8,-5.0,-62.5,77,3.9,0,3
1979,Basic Set,1,3,-2.0,-66.67,93,1.08,0,4
1981,Basic Set,3,1,2.0,200.0,84,3.57,0,0
1983,Basic Set,5,3,2.0,66.67,75,6.67,0,2
1984,Basic Set,7,5,2.0,40.0,98,7.14,0,3
1985,Basic Set,3,7,-4.0,-57.14,176,1.7,0,2
1986,Basic Set,3,3,0.0,0.0,164,1.83,0,3
1987,Basic Set,11,3,8.0,266.67,240,4.58,0,3
1988,Basic Set,2,11,-9.0,-81.82,85,2.35,0,3
1989,Basic Set,3,2,1.0,50.0,138,2.17,0,2
1990,Basic Set,7,3,4.0,133.33,115,6.09,0,1
1991,Basic Set,17,7,10.0,142.86,148,11.49,0,3
1992,Basic Set,4,17,-13.0,-76.47,138,2.9,0,5
1993,Basic Set,5,4,1.0,25.0,137,3.65,0,2
1994,Basic Set,12,5,7.0,140.0,170,7.06,0,4
1995,Basic Set,11,12,-1.0,-8.33,195,5.64,0,7
1996,Basic Set,9,11,-2.0,-18.18,197,4.57,0,6
1997,Basic Set,16,9,7.0,77.78,286,5.59,0,10
1998,Basic Set,23,16,7.0,43.75,421,5.46,0,16
1999,Basic Set,15,23,-8.0,-34.78,378,3.97,0,12
2000,Basic Set,25,15,10.0,66.67,408,6.13,0,17
2001,Basic Set,14,25,-11.0,-44.0,459,3.05,0,13
2002,Basic Set,15,14,1.0,7.14,580,2.59,0,6
2003,Basic Set,15,15,0.0,0.0,541,2.77,0,16
2004,Basic Set,11,15,-4.0,-26.67,466,2.36,0,9
2005,Basic Set,8,11,-3.0,-27.27,409,1.96,0,9
2006,Basic Set,18,8,10.0,125.0,441,4.08,0,7
2007,Basic Set,13,18,-5.0,-27.78,481,2.7,0,5
2008,Basic Set,8,13,-5.0,-38.46,462,1.73,0,9
2009,Basic Set,11,8,3.0,37.5,550,2.0,0,7
2010,Basic Set,6,11,-5.0,-45.45,531,1.13,0,14
2011,Basic Set,5,6,-1.0,-16.67,644,0.78,0,11
2012,Basic Set,6,5,1.0,20.0,766,0.78,0,18
2013,Basic Set,8,6,2.0,33.33,809,0.99,0,15
2014,Basic Set,6,8,-2.0,-25.0,1043,0.58,0,12
2015,Basic Set,4,6,-2.0,-33.33,1016,0.39,0,16
2016,Basic Set,3,4,-1.0,-25.0,998,0.3,0,13
2017,Basic Set,7,3,4.0,133.33,1104,0.63,0,6
2018,Basic Set,4,7,-3.0,-42.86,1065,0.38,0,13
2019,Basic Set,2,4,-2.0,-50.0,1106,0.18,0,9
2020,Basic Set,7,2,5.0,250.0,1116,0.63,0,11
2021,Basic Set,1,7,-6.0,-85.71,1220,0.08,0,8
2022,Basic Set,2,1,1.0,100.0,1217,0.16,0,5
2023,Basic Set,1,2,-1.0,-50.0,1141,0.09,0,7
2006,Batman,7,0,0.0,0.0,441,1.59,1,7
2007,Batman,2,7,-5.0,-71.43,481,0.42,0,5
2008,Batman,5,2,3.0,150.0,462,1.08,0,9
2011,Batman,2,5,-3.0,-60.0,644,0.31,0,11
2012,Batman,11,2,9.0,450.0,766,1.44,0,18
2013,Batman,4,11,-7.0,-63.64,809,0.49,0,15
2014,Batman,9,4,5.0,125.0,1043,0.86,0,12
2015,Batman,5,9,-4.0,-44.44,1016,0.49,0,16
2016,Batman,8,5,3.0,60.0,998,0.8,0,13
2018,Batman,5,8,-3.0,-37.5,1065,0.47,0,13
2019,Batman,16,5,11.0,220.0,1106,1.45,0,9
2020,Batman,8,16,-8.0,-50.0,1116,0.72,0,11
2021,Batman,15,8,7.0,87.5,1220,1.23,0,8
2022,Batman,8,15,-7.0,-46.67,1217,0.66,0,5
2023,Batman,11,8,3.0,37.5,1141,0.96,0,7
2024,Batman,13,11,2.0,18.18,1225,1.06,0,8
2025,Batman,8,13,-5.0,-38.46,1104,0.72,0,7
2026,Batman,4,8,-4.0,-50.0,24,16.67,0,0
1988,Black Knights,1,0,0.0,0.0,85,1.18,1,3
1990,Black Knights,3,1,2.0,200.0,115,2.61,0,1
1992,Black Knights,5,3,2.0,66.67,138,3.62,0,5
1993,Black Knights,4,5,-1.0,-20.0,137,2.92,0,2
1998,Black Knights,1,4,-3.0,-75.0,421,0.24,0,16
1969,Building,3,0,0.0,0.0,75,4.0,1,4
1971,Building,5,3,2.0,66.67,57,8.77,0,1
1972,Building,3,5,-2.0,-40.0,39,7.69,0,3
1973,Building,2,3,-1.0,-33.33,72,2.78,0,2
1974,Building,1,2,-1.0,-50.0,39,2.56,0,1
1975,Building,1,1,0.0,0.0,41,2.44,0,3
1976,Building,6,1,5.0,500.0,77,7.79,0,4
1977,Christmas,1,0,0.0,0.0,114,0.88,1,4
1978,Christmas,1,1,0.0,0.0,77,1.3,0,3
1986,Christmas,2,1,1.0,100.0,164,1.22,0,3
1989,Christmas,4,2,2.0,100.0,138,2.9,0,2
1991,Christmas,3,4,-1.0,-25.0,148,2.03,0,3
1992,Christmas,1,3,-2.0,-66.67,138,0.72,0,5
1995,Christmas,1,1,0.0,0.0,195,0.51,0,7
1997,Christmas,4,1,3.0,300.0,286,1.4,0,10
1999,Christmas,3,4,-1.0,-25.0,378,0.79,0,12
2000,Christmas,1,3,-2.0,-66.67,408,0.25,0,17
2001,Christmas,4,1,3.0,300.0,459,0.87,0,13
2002,Christmas,4,4,0.0,0.0,580,0.69,0,6
2003,Christmas,3,4,-1.0,-25.0,541,0.55,0,16
2004,Christmas,4,3,1.0,33.33,466,0.86,0,9
2005,Christmas,7,4,3.0,75.0,409,1.71,0,9
2006,Christmas,2,7,-5.0,-71.43,441,0.45,0,7
2007,Christmas,1,2,-1.0,-50.0,481,0.21,0,5
2009,Christmas,9,1,8.0,800.0,550,1.64,0,7
2010,Christmas,5,9,-4.0,-44.44,531,0.94,0,14
2011,Christmas,13,5,8.0,160.0,644,2.02,0,11
2012,Christmas,5,13,-8.0,-61.54,766,0.65,0,18
2013,Christmas,4,5,-1.0,-20.0,809,0.49,0,15
2014,Christmas,6,4,2.0,50.0,1043,0.58,0,12
2015,Christmas,7,6,1.0,16.67,1016,0.69,0,16
2016,Christmas,6,7,-1.0,-14.29,998,0.6,0,13
2017,Christmas,5,6,-1.0,-16.67,1104,0.45,0,6
2018,Christmas,6,5,1.0,20.0,1065,0.56,0,13
2019,Christmas,8,6,2.0,33.33,1106,0.72,0,9
2020,Christmas,14,8,6.0,75.0,1116,1.25,0,11
2021,Christmas,7,14,-7.0,-50.0,1220,0.57,0,8
2022,Christmas,7,7,0.0,0.0,1217,0.58,0,5
2023,Christmas,13,7,6.0,85.71,1141,1.14,0,7
2024,Christmas,19,13,6.0,46.15,1225,1.55,0,8
2025,Christmas,4,19,-15.0,-78.95,1104,0.36,0,7
1999,City Center,11,0,0.0,0.0,378,2.91,1,12
2000,City Center,10,11,-1.0,-9.09,408,2.45,0,17
2001,City Center,1,10,-9.0,-90.0,459,0.22,0,13
1997,Clocks and Watches,2,0,0.0,0.0,286,0.7,1,10
1999,Clocks and Watches,3,2,1.0,50.0,378,0.79,0,12
2000,Clocks and Watches,6,3,3.0,100.0,408,1.47,0,17
2001,Clocks and Watches,2,6,-4.0,-66.67,459,0.44,0,13
2002,Clocks and Watches,16,2,14.0,700.0,580,2.76,0,6
2003,Clocks and Watches,11,16,-5.0,-31.25,541,2.03,0,16
2004,Clocks and Watches,2,11,-9.0,-81.82,466,0.43,0,9
2005,Clocks and Watches,3,2,1.0,50.0,409,0.73,0,9
2006,Clocks and Watches,4,3,1.0,33.33,441,0.91,0,7
2007,Clocks and Watches,2,4,-2.0,-50.0,481,0.42,0,5
2008,Clocks and Watches,1,2,-1.0,-50.0,462,0.22,0,9
2009,Clocks and Watches,14,1,13.0,1300.0,550,2.55,0,7
2010,Clocks and Watches,3,14,-11.0,-78.57,531,0.56,0,14
2011,Clocks and Watches,22,3,19.0,633.33,644,3.42,0,11
2012,Clocks and Watches,18,22,-4.0,-18.18,766,2.35,0,18
2013,Clocks and Watches,13,18,-5.0,-27.78,809,1.61,0,15
2014,Clocks and Watches,21,13,8.0,61.54,1043,2.01,0,12
2015,Clocks and Watches,19,21,-2.0,-9.52,1016,1.87,0,16
2016,Clocks and Watches,7,19,-12.0,-63.16,998,0.7,0,13
2017,Clocks and Watches,27,7,20.0,285.71,1104,2.45,0,6
2018,Clocks and Watches,13,27,-14.0,-51.85,1065,1.22,0,13
2019,Clocks and Watches,10,13,-3.0,-23.08,1106,0.9,0,9
2024,Clocks and Watches,1,10,-9.0,-90.0,1225,0.08,0,8
2013,Constraction,9,0,0.0,0.0,809,1.11,1,15
2014,Constraction,7,9,-2.0,-22.22,1043,0.67,0,12
1997,Dino,9,0,0.0,0.0,286,3.15,1,10
1998,Dino,2,9,-7.0,-77.78,421,0.48,0,16
1999,Dino,2,2,0.0,0.0,378,0.53,0,12
2008,Dino,3,2,1.0,50.0,462,0.65,0,9
2012,Dino,7,3,4.0,133.33,766,0.91,0,18
2016,Disney Series 1,21,0,0.0,0.0,998,2.1,1,13
2015,Doc McStuffins,3,0,0.0,0.0,1016,0.3,1,16
2016,Doc McStuffins,1,3,-2.0,-66.67,998,0.1,0,13
2001,Dolls,6,0,0.0,0.0,459,1.31,1,13
2004,Dora the Explorer,5,0,0.0,0.0,466,1.07,1,9
2023,Dreamzzz,21,0,0.0,0.0,1141,1.84,1,7
2024,Dreamzzz,23,21,2.0,9.52,1225,1.88,0,8
2025,Dreamzzz,17,23,-6.0,-26.09,1104,1.54,0,7
1960,Educational and Dacta,1,0,0.0,0.0,3,33.33,1,1
1961,Educational and Dacta,1,1,0.0,0.0,25,4.0,0,1
1965,Educational and Dacta,1,1,0.0,0.0,26,3.85,0,1
1973,Educational and Dacta,1,1,0.0,0.0,72,1.39,0,2
1985,Educational and Dacta,2,1,1.0,100.0,176,1.14,0,2
1990,Educational and Dacta,1,2,-1.0,-50.0,115,0.87,0,1
1992,Educational and Dacta,2,1,1.0,100.0,138,1.45,0,5
1993,Educational and Dacta,1,2,-1.0,-50.0,137,0.73,0,2
1995,Educational and Dacta,1,1,0.0,0.0,195,0.51,0,7
1996,Educational and Dacta,1,1,0.0,0.0,197,0.51,0,6
1997,Educational and Dacta,5,1,4.0,400.0,286,1.75,0,10
1998,Educational and Dacta,3,5,-2.0,-40.0,421,0.71,0,16
1999,Educational and Dacta,1,3,-2.0,-66.67,378,0.26,0,12
2000,Educational and Dacta,3,1,2.0,200.0,408,0.74,0,17
2001,Educational and Dacta,3,3,0.0,0.0,459,0.65,0,13
2002,Educational and Dacta,1,3,-2.0,-66.67,580,0.17,0,6
2003,Educational and Dacta,3,1,2.0,200.0,541,0.55,0,16
2004,Educational and Dacta,2,3,-1.0,-33.33,466,0.43,0,9
2006,Educational and Dacta,1,2,-1.0,-50.0,441,0.23,0,7
2008,Educational and Dacta,1,1,0.0,0.0,462,0.22,0,9
2009,Educational and Dacta,3,1,2.0,200.0,550,0.55,0,7
2010,Educational and Dacta,2,3,-1.0,-33.33,531,0.38,0,14
2011,Educational and Dacta,2,2,0.0,0.0,644,0.31,0,11
2012,Educational and Dacta,3,2,1.0,50.0,766,0.39,0,18
2024,Gabby's Dollhouse,3,4,-1.0,-25.0,1225,0.24,0,8
2025,Gabby's Dollhouse,2,3,-1.0,-33.33,1104,0.18,0,7
1996,Gear,1,0,0.0,0.0,197,0.51,1,6
1998,Gear,2,1,1.0,100.0,421,0.48,0,16
2001,Gear,1,2,-1.0,-50.0,459,0.22,0,13
2002,Gear,1,1,0.0,0.0,580,0.17,0,6
2003,Gear,19,1,18.0,1800.0,541,3.51,0,16
2004,Gear,8,19,-11.0,-57.89,466,1.72,0,9
2005,Gear,1,8,-7.0,-87.5,409,0.24,0,9
2006,Gear,10,1,9.0,900.0,441,2.27,0,7
2007,Gear,24,10,14.0,140.0,481,4.99,0,5
2008,Gear,22,24,-2.0,-8.33,462,4.76,0,9
2009,Gear,19,22,-3.0,-13.64,550,3.45,0,7
2010,Gear,6,19,-13.0,-68.42,531,1.13,0,14
2011,Gear,11,6,5.0,83.33,644,1.71,0,11
2012,Gear,9,11,-2.0,-18.18,766,1.17,0,18
2013,Gear,15,9,6.0,66.67,809,1.85,0,15
2014,Gear,8,15,-7.0,-46.67,1043,0.77,0,12
2015,Gear,14,8,6.0,75.0,1016,1.38,0,16
2016,Gear,5,14,-9.0,-64.29,998,0.5,0,13
2017,Gear,11,5,6.0,120.0,1104,1.0,0,6
2018,Gear,26,11,15.0,136.36,1065,2.44,0,13
2019,Gear,33,26,7.0,26.92,1106,2.98,0,9
2020,Gear,36,33,3.0,9.09,1116,3.23,0,11
2021,Gear,102,36,66.0,183.33,1220,8.36,0,8
2022,Gear,44,102,-58.0,-56.86,1217,3.62,0,5
2023,Gear,50,44,6.0,13.64,1141,4.38,0,7
2024,Gear,63,50,13.0,26.0,1225,5.14,0,8
2025,Gear,47,63,-16.0,-25.4,1104,4.26,0,7
1998,Hydronauts,6,0,0.0,0.0,421,1.43,1,16
1999,Hydronauts,1,6,-5.0,-83.33,378,0.26,0,12
1993,Ice Planet 2002,6,0,0.0,0.0,137,4.38,1,2
1994,Ice Planet 2002,3,6,-3.0,-50.0,170,1.76,0,4
1995,Ice Planet 2002,1,3,-2.0,-66.67,195,0.51,0,7
1999,Ice Planet 2002,1,1,0.0,0.0,378,0.26,0,12
1964,Jumbo Bricks,1,0,0.0,0.0,37,2.7,1,1
1966,Jumbo Bricks,2,1,1.0,100.0,122,1.64,0,2
1968,Jumbo Bricks,3,2,1.0,50.0,42,7.14,0,0
1969,Jumbo Bricks,1,3,-2.0,-66.67,75,1.33,0,4
2014,Justice League,1,0,0.0,0.0,1043,0.1,1,12
2015,Justice League,5,1,4.0,400.0,1016,0.49,0,16
2016,Justice League,4,5,-1.0,-20.0,998,0.4,0,13
2017,Justice League,3,4,-1.0,-25.0,1104,0.27,0,6
2018,Justice League,3,3,0.0,0.0,1065,0.28,0,13
2004,Legoville,14,0,0.0,0.0,466,3.0,1,9
2005,Legoville,10,14,-4.0,-28.57,409,2.44,0,9
2006,Legoville,16,10,6.0,60.0,441,3.63,0,7
2007,Legoville,16,16,0.0,0.0,481,3.33,0,5
2008,Legoville,7,16,-9.0,-56.25,462,1.52,0,9
2009,Legoville,14,7,7.0,100.0,550,2.55,0,7
1999,Little Forest Friends,7,0,0.0,0.0,378,1.85,1,12
2000,Little Forest Friends,3,7,-4.0,-57.14,408,0.74,0,17
1990,M:Tron,7,0,0.0,0.0,115,6.09,1,1
1991,M:Tron,2,7,-5.0,-71.43,148,1.35,0,3
2007,Mars Mission,9,0,0.0,0.0,481,1.87,1,5
2008,Mars Mission,12,9,3.0,33.33,462,2.6,0,9
2012,Mini,1,0,0.0,0.0,766,0.13,1,18
2012,Monster Fighters,14,0,0.0,0.0,766,1.83,1,18
2025,Nike,3,0,0.0,0.0,1104,0.27,1,7
2011,Pharaoh's Quest,9,0,0.0,0.0,644,1.4,1,11
1988,Promotional,1,0,0.0,0.0,85,1.18,1,3
1998,Promotional,1,1,0.0,0.0,421,0.24,0,16
2000,Promotional,4,1,3.0,300.0,408,0.98,0,17
2002,Promotional,1,4,-3.0,-75.0,580,0.17,0,6
2008,Promotional,2,1,1.0,100.0,462,0.43,0,9
2009,Promotional,26,2,24.0,1200.0,550,4.73,0,7
2010,Promotional,1,26,-25.0,-96.15,531,0.19,0,14
2011,Promotional,1,1,0.0,0.0,644,0.16,0,11
2012,Promotional,1,1,0.0,0.0,766,0.13,0,18
2013,Promotional,7,1,6.0,600.0,809,0.87,0,15
2014,Promotional,8,7,1.0,14.29,1043,0.77,0,12
2015,Promotional,11,8,3.0,37.5,1016,1.08,0,16
2016,Promotional,8,11,-3.0,-27.27,998,0.8,0,13
2017,Promotional,1,8,-7.0,-87.5,1104,0.09,0,6
2018,Promotional,14,1,13.0,1300.0,1065,1.31,0,13
2019,Promotional,9,14,-5.0,-35.71,1106,0.81,0,9
2020,Promotional,18,9,9.0,100.0,1116,1.61,0,11
2021,Promotional,16,18,-2.0,-11.11,1220,1.31,0,8
2022,Promotional,22,16,6.0,37.5,1217,1.81,0,5
2023,Promotional,16,22,-6.0,-27.27,1141,1.4,0,7
2024,Promotional,26,16,10.0,62.5,1225,2.12,0,8
2025,Promotional,41,26,15.0,57.69,1104,3.71,0,7
1998,RCX,8,0,0.0,0.0,421,1.9,1,16
1999,RCX,10,8,2.0,25.0,378,2.65,0,12
2000,RCX,2,10,-8.0,-80.0,408,0.49,0,17
2001,RCX,4,2,2.0,100.0,459,0.87,0,13
2002,RCX,3,4,-1.0,-25.0,580,0.52,0,6
2003,RCX,5,3,2.0,66.67,541,0.92,0,16
2004,RCX,2,5,-3.0,-60.0,466,0.43,0,9
2005,RCX,1,2,-1.0,-50.0,409,0.24,0,9
2008,RCX,1,1,0.0,0.0,462,0.22,0,9
2013,Series 11 Minifigures,18,0,0.0,0.0,809,2.22,1,15
2014,Series 11 Minifigures,1,18,-17.0,-94.44,1043,0.1,0,12
2016,Series 16 Minifigures,19,0,0.0,0.0,998,1.9,1,13
2017,Series 17 Minifigures,19,0,0.0,0.0,1104,1.72,1,6
2025,Series 27 Minifigures,16,0,0.0,0.0,1104,1.45,1,7
2011,Series 3 Minifigures,19,0,0.0,0.0,644,2.95,1,11
2012,Series 6 Minifigures,19,0,0.0,0.0,766,2.48,1,18
1998,Soft Bricks,1,0,0.0,0.0,421,0.24,1,16
1999,Soft Bricks,2,1,1.0,100.0,378,0.53,0,12
2000,Soft Bricks,1,2,-1.0,-50.0,408,0.25,0,17
2004,Soft Bricks,1,1,0.0,0.0,466,0.21,0,9
2013,Soft Bricks,1,1,0.0,0.0,809,0.12,0,15
2019,SPIKE,1,0,0.0,0.0,1106,0.09,1,9
2020,SPIKE,13,1,12.0,1200.0,1116,1.16,0,11
2021,SPIKE,11,13,-2.0,-15.38,1220,0.9,0,8
2022,SPIKE,6,11,-5.0,-45.45,1217,0.49,0,5
1999,Advent,1,0,0.0,0.0,378,0.26,1,12
2000,Advent,1,1,0.0,0.0,408,0.25,0,17
2016,Advent,1,1,0.0,0.0,998,0.1,0,13
2017,Advent,1,1,0.0,0.0,1104,0.09,0,6
2025,Advent,1,1,0.0,0.0,1104,0.09,0,7
2011,Alien Conquest,10,0,0.0,0.0,644,1.55,1,11
2008,Architecture,4,0,0.0,0.0,462,0.87,1,9
2009,Architecture,4,4,0.0,0.0,550,0.73,0,7
2010,Architecture,2,4,-2.0,-50.0,531,0.38,0,14
2011,Architecture,5,2,3.0,150.0,644,0.78,0,11
2012,Architecture,4,5,-1.0,-20.0,766,0.52,0,18
2013,Architecture,4,4,0.0,0.0,809,0.49,0,15
2014,Architecture,3,4,-1.0,-25.0,1043,0.29,0,12
2015,Architecture,3,3,0.0,0.0,1016,0.3,0,16
2016,Architecture,3,3,0.0,0.0,998,0.3,0,13
2017,Architecture,3,3,0.0,0.0,1104,0.27,0,6
2018,Architecture,2,3,-1.0,-33.33,1065,0.19,0,13
2019,Architecture,3,2,1.0,50.0,1106,0.27,0,9
2020,Architecture,2,3,-1.0,-33.33,1116,0.18,0,11
2021,Architecture,1,2,-1.0,-50.0,1220,0.08,0,8
2022,Architecture,1,1,0.0,0.0,1217,0.08,0,5
2023,Architecture,1,1,0.0,0.0,1141,0.09,0,7
2024,Architecture,1,1,0.0,0.0,1225,0.08,0,8
2025,Architecture,3,1,2.0,200.0,1104,0.27,0,7
2001,Audio and Visual Media,1,0,0.0,0.0,459,0.22,1,13
2003,Audio and Visual Media,1,1,0.0,0.0,541,0.18,0,16
2004,Audio and Visual Media,1,1,0.0,0.0,466,0.21,0,9
2005,Audio and Visual Media,1,1,0.0,0.0,409,0.24,0,9
2009,Audio and Visual Media,1,1,0.0,0.0,550,0.18,0,7
2010,Audio and Visual Media,3,1,2.0,200.0,531,0.56,0,14
2011,Audio and Visual Media,2,3,-1.0,-33.33,644,0.31,0,11
2012,Audio and Visual Media,5,2,3.0,150.0,766,0.65,0,18
2013,Audio and Visual Media,5,5,0.0,0.0,809,0.62,0,15
2014,Audio and Visual Media,9,5,4.0,80.0,1043,0.86,0,12
2015,Audio and Visual Media,14,9,5.0,55.56,1016,1.38,0,16
2016,Audio and Visual Media,9,14,-5.0,-35.71,998,0.9,0,13
2017,Audio and Visual Media,10,9,1.0,11.11,1104,0.91,0,6
2018,Audio and Visual Media,6,10,-4.0,-40.0,1065,0.56,0,13
2019,Audio and Visual Media,4,6,-2.0,-33.33,1106,0.36,0,9
2020,Audio and Visual Media,3,4,-1.0,-25.0,1116,0.27,0,11
2023,Audio and Visual Media,1,3,-2.0,-66.67,1141,0.09,0,7
2006,Avatar: The Last Airbender,2,0,0.0,0.0,441,0.45,1,7
2012,Avengers,12,0,0.0,0.0,766,1.57,1,18
2013,Avengers,1,12,-11.0,-91.67,809,0.12,0,15
2014,Avengers,2,1,1.0,100.0,1043,0.19,0,12
2015,Avengers,12,2,10.0,500.0,1016,1.18,0,16
2016,Avengers,3,12,-9.0,-75.0,998,0.3,0,13
2017,Avengers,4,3,1.0,33.33,1104,0.36,0,6
2018,Avengers,9,4,5.0,125.0,1065,0.85,0,13
2019,Avengers,9,9,0.0,0.0,1106,0.81,0,9
2020,Avengers,13,9,4.0,44.44,1116,1.16,0,11
2021,Avengers,7,13,-6.0,-46.15,1220,0.57,0,8
2022,Avengers,8,7,1.0,14.29,1217,0.66,0,5
2023,Avengers,9,8,1.0,12.5,1141,0.79,0,7
2024,Avengers,1,9,-8.0,-88.89,1225,0.08,0,8
2025,Avengers,6,1,5.0,500.0,1104,0.54,0,7
1994,Belville,4,0,0.0,0.0,170,2.35,1,4
1995,Belville,3,4,-1.0,-25.0,195,1.54,0,7
1996,Belville,5,3,2.0,66.67,197,2.54,0,6
1997,Belville,6,5,1.0,20.0,286,2.1,0,10
1998,Belville,7,6,1.0,16.67,421,1.66,0,16
1999,Belville,12,7,5.0,71.43,378,3.17,0,12
2000,Belville,5,12,-7.0,-58.33,408,1.23,0,17
2001,Belville,5,5,0.0,0.0,459,1.09,0,13
2002,Belville,7,5,2.0,40.0,580,1.21,0,6
2003,Belville,11,7,4.0,57.14,541,2.03,0,16
2004,Belville,8,11,-3.0,-27.27,466,1.72,0,9
2005,Belville,5,8,-3.0,-37.5,409,1.22,0,9
2006,Belville,3,5,-2.0,-40.0,441,0.68,0,7
2007,Belville,4,3,1.0,33.33,481,0.83,0,5
2008,Belville,4,4,0.0,0.0,462,0.87,0,9
1984,Black Falcons,2,0,0.0,0.0,98,2.04,1,3
1985,Black Falcons,1,2,-1.0,-50.0,176,0.57,0,2
1986,Black Falcons,1,1,0.0,0.0,164,0.61,0,3
1987,Black Falcons,2,1,1.0,100.0,240,0.83,0,3
2002,Black Falcons,1,2,-1.0,-50.0,580,0.17,0,6
2015,Classic,10,0,0.0,0.0,1016,0.98,1,16
2016,Classic,3,10,-7.0,-70.0,998,0.3,0,13
2017,Classic,7,3,4.0,133.33,1104,0.63,0,6
2018,Classic,10,7,3.0,42.86,1065,0.94,0,13
2019,Classic,5,10,-5.0,-50.0,1106,0.45,0,9
2020,Classic,7,5,2.0,40.0,1116,0.63,0,11
2021,Classic,6,7,-1.0,-14.29,1220,0.49,0,8
2022,Classic,11,6,5.0,83.33,1217,0.9,0,5
2023,Classic,8,11,-3.0,-27.27,1141,0.7,0,7
2024,Classic,5,8,-3.0,-37.5,1225,0.41,0,8
2025,Classic,6,5,1.0,20.0,1104,0.54,0,7
2008,Collectible Minifigures,1,0,0.0,0.0,462,0.22,1,9
2009,Collectible Minifigures,5,1,4.0,400.0,550,0.91,0,7
2010,Collectible Minifigures,1,5,-4.0,-80.0,531,0.19,0,14
2012,Collectible Minifigures,7,1,6.0,600.0,766,0.91,0,18
2013,Collectible Minifigures,4,7,-3.0,-42.86,809,0.49,0,15
2014,Collectible Minifigures,1,4,-3.0,-75.0,1043,0.1,0,12
2015,Collectible Minifigures,1,1,0.0,0.0,1016,0.1,0,16
2016,Collectible Minifigures,5,1,4.0,400.0,998,0.5,0,13
